dataset,status,n_features,refinement_type,r2,rmse,complexity,complexity_original,complexity_simplified,seconds,error,noise_strength,expr,expr_simplified
1027_ESL,ok,4,NoRef,0.6105626945515135,0.9075088306070763,70,56,70,20.46253228187561,,0.1,(((((-3.1650294675520123 + (0.6187740894529837 * x_1)) - (-7.97 + (-0.729 * (-4.543727322540949 + (0.8485018342746871 * x_2))))) + ((-0.0712 + (-0.0009599999999999999 * inv((-88.60000000000001 + (-67.7 * inv((-0.05380000000000001 + (0.08380000000000001 * ((0.5730000000000001 + (-62.9 * (-3.689442089095961 + (0.6641659926365366 * x_0)))))**2)))))))) * (0.0026999999999999997 + (-8.56 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))) * (0.896 + (-0.0882 * tan(((-40.7 + (-8.36 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (-0.00773 + (-10.0 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))))) * (0.748 + (-0.058100000000000006 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))),(0.035950774597218357*x_1 - 0.93188821206477193)*((9.3958206551174945*x_3 - 52.619295668657964)*(0.5285567680000001*(232.6389074041359 - 41.77604093683815*x_0)**2 + 4.480904032) + (7.424680000000002*(232.6389074041359 - 41.77604093683815*x_0)**2 + 62.93332)*(0.6187740894529837*x_1 + 0.6185578371862469*x_2 + 1.4925933143156357))*(0.0882*tan(1.8001338638309224*x_3 - 50.77301963745317) - 0.896)/(7.424680000000002*(232.6389074041359 - 41.77604093683815*x_0)**2 + 62.93332)
1028_SWD,ok,10,BFGS,-0.052184074132451075,0.8285196979939652,91,91,91,27.01103186607361,,0.1,((-0.052577407015126476 + (0.24065399206946456 * (-2.1689364464787513 + (0.972617240573431 * x_2)))) + (((-0.0008215475733680906 * (-2.9293890917537175 + (2.0064308847628203 * x_5))) * (((-0.002989957570960594 * (-2.3736872687394746 + (1.012233376861183 * x_4))) + (5.569999588519452 + (-0.0595999575709606 * (-2.3736872687394746 + (1.012233376861183 * x_4))))) + (1.0099995885194522 + (96.49999983172535 * cos((((41.50004754394126 * (-2.4841136395988146 + (1.2451697441598069 * x_3))) * (4.790413061767054 + (0.0064173338154516705 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))) + (((0.05360852976602116 + (-0.07749954838333577 * (-2.8621521711176414 + (1.2806049982629268 * x_1)))) + ((0.6590021827676869 + (0.1469999675620172 * inv((-69.30000000007081 + (-2.9121760301824526 + (1.3867504905630728 * x_7)))))) * (0.24800560248580314 + (0.0038515086068327447 * (-2.9293890917537175 + (2.0064308847628203 * x_5)))))) - ((-0.005968529766021153 + (0.3699819572768134 * (-2.9121760301824526 + (1.3867504905630728 * x_7)))) - (((-84.69999519930926 + (86.39998783492031 * (-2.566230515260939 + (1.2704111461687815 * x_8)))) * (0.5925496290494697 + (-0.028561702010150673 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))) - (-53.800008529766025 + (-9.069965529241248 * (-2.5904290116544066 + (1.3421911977483971 * x_6))))))))))))) + (3.8700225929848737 + (-0.8454645784703622 * sin(((3.225250498273506 + (51.694765783489224 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))) * (-64.90501908859964 + (-54.188115344874475 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))))))))),0.23406422169958297*x_2 + (0.0024066324997812215 - 0.001648378424507686*x_5)*(-0.06335560116156178*x_4 + 96.49999983172535*cos(-0.099246309022819316*x_1 + 12.173627897228985*x_6 - 0.51307266075310682*x_7 + (0.6590021827676869 + 0.1469999675620172/(1.3867504905630728*x_7 - 72.212176030253262))*(0.0077277858216790413*x_5 + 0.23672303518615174) + (0.66893918919464337 - 0.03726320007081643*x_9)*(109.76350757432989*x_8 - 306.4222804994557) + (0.0082180697595891079*x_1 + 4.7720456758543723)*(51.674603582909162*x_3 - 103.09083414790377) + 31.66375183589365) + 6.7285680617627666) - 0.8454645784703622*sin((86.199164179789085 - 76.702631100704937*x_0)*(73.173324528685047*x_0 - 140.92619882323603)) + 3.2954819715796772
1029_LEV,ok,4,BFGS,-0.15318750926470526,1.0424796922391621,51,40,51,26.876978874206543,,0.1,(0.8509235050509798 + (0.010424083457006923 * abs(((49.99992642335874 + (-99.00001443392892 * sin(((0.5034124094692919 + (8.966097504293828 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))) * (0.9448742102709767 + (8.95529534784981 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))))) + ((-0.010073576641260292 + (-0.6002112252167472 * inv((0.0989184278716042 + (-0.8999792160953364 * cos((0.8990735084629007 + (0.8992326353536052 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))))))) + (-0.010073576641260292 + (0.09992842774790603 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))))),0.010424083457006923*Abs(((0.8999792160953364*cos(0.6486443906286689*x_3 - 0.33983727763785677) - 0.0989184278716042)*(0.07659712447068159*x_1 - 99.00001443392892*sin((6.561047050361477*x_0 - 11.63452463369944)*(6.193359136460391*x_2 - 11.03927571877988)) + 49.830797862980744) + 0.6002112252167472)/(0.8999792160953364*cos(0.6486443906286689*x_3 - 0.33983727763785677) - 0.0989184278716042)) + 0.8509235050509798
1030_ERA,ok,4,NoRef,0.11312738447260118,1.890381534291613,47,47,47,22.047041416168213,,0.1,((0.00468 + (-0.7010000000000001 * cos(((-3.79 + (-0.0274 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) * (-84.0 + (0.42000000000000004 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))))) + ((0.09400000000000001 + (0.036300000000000006 * inv((0.0383 + (0.0274 * cos((((0.0089 * (-1.8026202153614108 + (0.2599308169230585 * x_1))) * (0.07930000000000001 + (5.17 * (-1.4098777764544617 + (0.21377979931075994 * x_3))))) + (80.3 + (-57.9 * (-1.6821592654348876 + (0.2229502008528678 * x_0))))))))))) - (-2.8000000000000003 + (-0.447 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))))),0.1161890751646072*x_1 - 0.7010000000000001*cos((-0.007122104383691803*x_1 - 3.7406082060990974)*(0.11305620566940306*x_2 - 84.745605676389713)) + 2.0929087637334497 + 0.036300000000000006/(0.0274*cos(-12.90881662938105*x_0 + (0.002313384270615221*x_1 - 0.016043319916716556)*(1.1052415624366289*x_3 - 7.2097681042695669) + 177.69702146867999) + 0.0383)
1096_FacultySalaries,ok,4,BFGS,-0.0028796852429477937,4.57791767769275,46,46,46,13.66218090057373,,0.1,((9.037858076425733 + (0.0095165152976235 * (((64.61487309595154 + (0.2175888945625383 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) + (-4.35972690405224 + (-0.015059019422060645 * tan((-18.478169233805065 + (8.104584523939266 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))))))**2)) + (((-4.222309828862683 + (-0.5619514869490163 + (2.341464528954235 * x_0))) + (-9.76330982884854 + (-13.918088661592387 * inv(((-0.04182007562084718 + (-70.11527270315833 * (-9.112288776127002 + (0.17718880655098507 * x_3)))) + ((-0.010430075619230905 + (0.12288399771251722 * (-0.5619514869490163 + (2.341464528954235 * x_0)))) - (0.04202007562022765 + (0.03681600228695954 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))))))) * (-0.009299745043603716 + (0.016668734348027493 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))),(0.0016567505937349188*x_2 - 0.13175216982556814)*(2.341464528954235*x_0 - 14.54757114466024 - 13.918088661592387/(0.20152515836713867*x_0 - 12.423641491269485*x_3 + 638.76797622320519)) + 0.0095165152976235*(0.031508394411360454*x_1 - 0.015059019422060645*tan(0.8055365777426371*x_2 - 78.016344483696513) + 58.42151517672628)**2 + 9.037858076425733
1193_BNG_lowbwt,ok,9,BFGS,0.49252394919113407,516.1602582663025,58,58,58,20.704817056655884,,0.1,((0.0923710713619739 + (0.7657821948071809 * (((57.109064727497376 + (-7.527471908183368 * (-0.7018100265975371 + (2.126697050295567 * x_0)))) + (0.0990647274973797 + (-7.661324416087465 * sin(((0.6388589267229039 + (8.232062486894689 * (-0.4860799579773197 + (1.7055437122011219 * x_5)))) + (0.648858926722904 + (-0.1921827694054688 * (-4.341145088689214 + (0.03261568031203464 * x_2))))))))))**2)) + ((0.012371071361973884 + (0.895686930753143 * inv(((1.0893184934593483 + (0.049697665887901754 * (-2.1712405933672376 + (2.631806779839076 * x_7)))) * (-4.000970862867936 + (-0.00970330463641937 * (-4.7670358854990456 + (0.20452064575820186 * x_1)))))))) + ((0.012371071361973884 + (0.01880505067804429 * (-0.9231403599700084 + (0.7474820728502092 * x_8)))) + ((0.012371071361973884 + (0.01945634900401715 * (-1.7565107319733801 + (1.3459852352286439 * x_3)))) + ((0.012371071361973884 + (0.021305426482885467 * (-0.8422598823413764 + (2.029541885159943 * x_4)))) + (0.012371071361973884 + (0.20143711059972397 * (-0.2412489548185819 + (4.386344633065126 * x_6))))))))),0.026187958490862615*x_3 + 0.043240255428211945*x_4 + 0.88357258897924544*x_6 + 0.01405643826087778*x_8 + 0.7657821948071809*(-16.00865230331631*x_0 + 7.661324416087465*sin(0.006268171768410242*x_2 - 14.040142412969967*x_5 + 1.87942944871539) + 62.490984715089139)**2 + 0.036150242692517098 + 0.895686930753143/((-0.0019845261302290436*x_1 - 3.9547148614581956)*(0.13079465402595701*x_7 + 0.98141290388793377))
1196_BNG_pharynx,ok,10,NoRef,0.24474212580669807,332.9052442736986,104,104,104,25.296386003494263,,0.1,(((-0.0373 * sqrt((0.09060000000000001 + (-0.00714 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))) - ((0.5720000000000001 + (0.11 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) * (((((0.56 + (-30.0 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) - (0.08080000000000001 + (0.154 * ((25.900000000000002 + (-32.5 * cos((-6.53 + (-8.26 * (-1.3076038098835963 + (1.5659925866869417 * x_3))))))))**2))) - ((-0.027500000000000004 + (-0.8580000000000001 * (-0.4676211227230167 + (1.585156348213616 * x_5)))) * (34.300000000000004 + (-0.006699999999999999 * (-1.6870547845739468 + (2.279803762937766 * x_1)))))) - (((51.9 + (-15.5 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) + ((-0.0014 + (-52.0 * tan((-5.63 * (-1.3193830297679 + (0.5890102811463838 * x_0)))))) + ((-0.008029999999999999 + (0.062200000000000005 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))) * ((-95.5 + (-70.3 * (-1.4913495697629222 + (1.021472308056796 * x_8)))) - (0.0853 + (0.0106 * (-1.4913495697629222 + (1.021472308056796 * x_8)))))))) - (0.00452 + (-6.71 * abs((-80.10000000000001 + (-0.396 * (-1.020204061220407 + (2.000400120040014 * x_2))))))))) - (-0.0106 + (-4.9 * (-1.3184242770282357 + (1.2437964877624863 * x_6))))))) + (-6.15 + (0.9 * ((0.024 + (2.39 * (-1.3076038098835963 + (1.5659925866869417 * x_3)))))**2))),-0.0373*sqrt(0.09483222770551768 - 0.01627779886737565*x_9) + 0.9*(3.7427222821817909*x_3 - 3.1011731056217953)**2 - (0.2507784139231543*x_9 + 0.50679761237998)*(-1.247131208129489*x_4 + 6.0946027900361833*x_6 - (0.37371892329634837 - 1.360064146767283*x_5)*(34.311303267056649 - 0.01527468521168303*x_1) - (9.2723830597729134 - 71.82033086285816*x_8)*(0.06374962185056039*x_7 - 0.068273392648779562) - 0.154*(25.900000000000002 - 32.5*cos(12.935098766034138*x_3 - 4.2708074696385049))**2 - 52.0*tan(3.316127882854141*x_0 - 7.42812645759328) - 6.71*Abs(0.7921584475358456*x_2 + 79.69599919175673) + 18.632438522142919) - 6.15
1199_BNG_echoMonths,ok,9,BFGS,-0.011432198938823745,15.596025045637758,91,91,91,30.688273906707764,,0.1,((-0.0016716989434545108 + (-0.05563119124935289 * (((0.628664741573439 + (0.15106848595313205 * abs(((((-79.19994654966109 + (-2.7393118696321914 + (0.1834262746734647 * x_6))) + (0.02765345033891167 + (41.69995550202997 * (-7.068403061162645 + (0.11366866615016445 * x_1))))) * (-0.0016747891294994974 + (-0.054314291707157854 * (-0.7018100265975372 + (2.1266970502955673 * x_0))))) - ((-0.0016168084342541647 + (5.819034662480686 * cos(((((-9.515483918198852 * (-3.0702386426579005 + (2.0989423382322308 * x_7))) * (-8.879343217768206 + (0.983225970628146 * (-2.050416905868444 + (9.294535034379726 * x_3))))) + (-43.9023223544482 + (-0.060168619784742694 * (-0.4525696378552518 + (2.66217434032501 * x_2))))) + (0.025877645551792543 + (-0.7257795540615763 * (-6.139712387609727 + (1.3064991268887023 * x_5)))))))) - (1.6808434254164575e-05 + (6.915667929077384 * (-1.7077351386697883 + (0.1433472945228545 * x_4))))))))) - (4.378335258426561 + (-23.698428321210702 * cos((-5.618899619382313 + (0.03212982912709221 * cos(((23.700962306179772 + (0.8554690487531139 * (-0.5850486126764433 + (2.29430828500566 * x_8)))) - ((-76.08260738432101 + (-0.05295602489710168 * (-2.050416905868444 + (9.294535034379726 * x_3)))) * (85.97303316890529 + (0.10479614765805587 * (-2.050416905868444 + (9.294535034379726 * x_3))))))))))))))**2)) * (-1.5524531294332646 + (0.05525736114975044 * (-1.7077351386697883 + (0.1433472945228545 * x_4))))),(0.007920993223289014*x_4 - 1.6468180667388602)*(-0.05563119124935289*(23.698428321210702*cos(0.03212982912709221*cos(1.96270972612018*x_8 - (-0.4922016286875966*x_3 - 75.9740254556044)*(0.97403146587583115*x_3 + 85.758157376077327) + 23.200471326019126) - 5.618899619382313) + 0.15106848595313205*Abs(-0.991342287451715*x_4 + (0.1155100439625056*x_0 - 0.036443525378127351)*(4.7399783204369578*x_1 + 0.1834262746734647*x_6 - 376.66369808984909) + 5.819034662480686*cos(0.16017935568371374*x_2 + 0.94823035369512115*x_5 + (9.138628230715314*x_3 - 10.89536637023307)*(19.972452064675488*x_7 - 29.214806429243924) + 39.393136499684455) + 11.808495512988666) - 3.749670516853122)**2 - 0.0016716989434545108)
1201_BNG_breastTumor,ok,9,BFGS,-0.03282570255273076,10.766569915264672,88,88,88,23.442444801330566,,0.1,((-0.002589817687581994 + (-0.19099730033494067 * tan(((-0.004766593789811801 + (0.06900552927126458 * (-0.75 + (2.0833333333333335 * x_8)))) + (-7.870006593789812 + (0.0015392605760609199 * (-0.933007822647968 + (1.6963778593599417 * x_1)))))))) + (-4.619999817687582 + (0.887999926548215 * abs(((((-0.04889983810766767 + (0.23799986621384103 * (-0.75 + (2.0833333333333335 * x_8)))) + (-0.20799983810766767 + (-4.059999921032326 * (-0.749436783737264 + (0.22607444456629383 * x_2))))) - ((-0.029300161892332338 + (-0.0014251912248132146 * (((-0.0009199380739004126 + (31.899999940214954 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))) - (7.5899999380739 + (-97.19999994192048 * sin(((-0.08440142848908243 + (-8.900093216005176 * inv((-0.12664584789678845 + (-0.007223794761567818 * (-0.6081636405595373 + (2.2524579279982864 * x_7))))))) - (0.9800014284890824 + (0.05490020293652835 * (-1.2500406497455434 + (0.8064778385455118 * x_6))))))))))**2)) - (-20.89999983810767 + (-0.0022985148202273875 * sqrt(((-8.820000000020304 + (0.0055500000013916015 * (-5.513793854744495 + (0.10828748668207969 * x_0)))) - (-6.099999999979697 + (-94.49999999998134 * cos((0.007019999403452434 + (-0.48900000063436705 * cos((-39.50000000004156 + (1.950000000052792 * (-1.6200683918739798 + (1.270641875979592 * x_4)))))))))))))))) + (47.70000016189234 + (-0.004010004381774149 * (-1.061913167103641 + (2.0036097492521527 * x_5))))))))),-0.19099730033494067*tan(0.002611167561015374*x_1 + 0.14376151931513455*x_8 - 7.9279634766916307) + 0.887999926548215*Abs(0.91786222708657991*x_2 + 0.0080344838738665363*x_5 - 0.49583305461216885*x_8 + 0.0022985148202273875*sqrt(0.00060099555123623531*x_0 + 94.49999999998134*cos(0.48900000063436705*cos(2.477751658227284*x_4 - 42.659133364281347) - 0.007019999403452434) - 2.750601555942112) - 0.0014251912248132146*(-76.392121652218772*x_3 + 97.19999994192048*sin(0.04427579699996134*x_6 + 0.99577537162822473 - 8.900093216005176/(0.016271293780925923*x_7 + 0.12225259857593845)) + 24.779147247897025)**2 - 29.440872469046447) - 4.622589635375164
1203_BNG_pwLinear,ok,10,BFGS,0.4413891148347817,3.280004262875367,79,79,79,23.33746314048767,,0.1,(((((0.0014959815693802174 * (0.103834826330233 + (1.2979353291279123 * x_9))) * ((0.44002107249957295 + (0.0026406135780699075 * inv((0.6899998835338351 + (0.005710033891950096 * arctan((-0.30000000061027193 + (0.005249999941971694 * (-0.0689883074727411 + (1.1498051245456848 * x_7)))))))))) - ((-2.4000210724995727 + (0.0018219685663362919 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) + (-0.07312107249957299 + (53.6000062799521 * sin((-0.5552830576777233 + (53.5968601702991 * abs((-27.284831995099537 + (-6.338973997161546 * (0.23480352857641618 + (1.2692082625752226 * x_1))))))))))))) + (0.059689634469118485 + (0.7890428013511119 * (-0.032157832069216574 + (1.286313282768663 * x_4))))) - (-0.9212896344691185 + (-0.888024354649527 * tan(((0.0040588211553449025 + (-87.79835346251294 * (0.10854662075011276 + (1.1425960078959239 * x_8)))) - ((6.579741178844655 + (-7.708249197100882 * (0.07462778926574919 + (1.2437964877624865 * x_6)))) - ((-0.0038934894136355876 + (-0.023413572272949497 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))) * (-3.549976881221043 + (0.06730635941651698 * (-0.3106848830006 + (1.2427395320024 * x_5))))))))))) + ((3.980289634469118 + (-2.507916393111334 * (-0.07017213284715496 + (1.0024590406736422 * x_0)))) + (-5.609710365530882 + (0.07301213048726034 * (-0.3106848830006 + (1.2427395320024 * x_5)))))),-2.5140834615280888*x_0 + 1.014956236050931*x_4 + 0.09073506087223607*x_5 + (0.0019416873306228032*x_9 + 0.00015533498644982428)*(-0.0022096239034841519*x_2 - 53.6000062799521*sin(53.5968601702991*Abs(8.0454781734469198*x_1 + 28.773245457187217) - 0.5552830576777233) + 2.9131853137377535 + 0.0026406135780699075/(0.005710033891950096*atan(0.0060364768371436016*x_7 - 0.30036218922050055) + 0.6899998835338351)) + 0.888024354649527*tan(9.5874932781520835*x_6 - 100.31804816610255*x_8 + (-0.028716422929306623*x_3 - 0.0034627430696959882)*(0.08364427360206764*x_5 - 3.57088794962156) - 15.530647336779927) - 0.52051329093589308
